id,provider_name,last_collection_total,baseurl,oai_set
opendoar____::518,MediaTUM,33998,https://mediatum.ub.tum.de/oai/oai,open_access
opendoar____::1711,Science and Religion Dialogue Prints,299,http://scireprints.lu.lv/cgi/oai2,driver
opendoar____::126,E-Prints Complutense,37251,http://eprints.ucm.es/cgi/oai2,driver
opendoar____::4206,"Cherry - Repository of the Faculty of Chemistry, University of Belgrade",3858,http://cherry.chem.bg.ac.rs/oai/openaire,""
opendoar____::880,CrossAsia-Repository,2712,http://crossasia-repository.ub.uni-heidelberg.de/cgi/oai2,driver
opendoar____::1512,Digital Library of the University of Pardubice,1620,https://dk.upce.cz/oai/openaire,""
opendoar____::579,University of Zagreb Medical School Repository,2741,http://medlib.mef.hr/cgi/oai2,driver
opendoar____::2017,Repositório Científico do Instituto Politécnico de Viseu,4879,http://repositorio.ipv.pt/oaiextended/request,""
opendoar____::1291,Repositorio Digital de la Universidad Politécnica de Cartagena,8114,http://repositorio.upct.es/oai/request,""
opendoar____::1564,IC-online,4496,https://iconline.ipleiria.pt/oai/request,""
opendoar____::2751,Copenhagen University Research Information System,23764,https://curis.ku.dk/ws/oai,publications:withFiles
opendoar____::3082,Niğde Üniversitesi Açık Erişim Sistemi,5751,http://acikerisim.nigde.edu.tr/oai/request,""
opendoar____::517,Münstersches Informations und Archivsystem für Multimediale Inhalte,8045,http://repositorium.uni-muenster.de/oai/miami,""
opendoar____::1507,Tropmed Central Antwerp,6320,http://dspace.itg.be/oai/request,""
openaire____::TmFSRHVTIC0gTmFjaW9uYWxuaSByZXBveml0b3JpanVtIGRpc2VydGFjaWphIHUgU3JiaWpp,NaRDuS - Nacionalni repozitorijum disertacija u Srbiji,9951,http://nardus.mpn.gov.rs/oai/openaire,""
openaire____::issn26617323, المجلة الأفريقية للعلوم السياسية,156,https://www.maspolitiques.com/ojs/index.php/ajps/oai,""
opendoar____::1796,Brage IMR,9475,https://imr.brage.unit.no/imr-oai/openaire,""
openaire____::tidar,Jurnal Universitas Tidar,1053,http://jurnal.untidar.ac.id/index.php/index/oai,""
opendoar____::13,Publikations- und Dokumentenserver der Universitätsbibliothek Marburg,10470,http://archiv.ub.uni-marburg.de/oai/provider,open_access
doajarticles::2363-9814,o-bib. Das offene Bibliotheksjournal,566,https://www.o-bib.de/oai,""
openaire____::issn2364091X,Journal of large-scale research facilities,138,http://jlsrf.org/index.php/lsf/oai,lsf
opendoar____::9522,ICI Berlin Repository,138,https://www.ici-berlin.org/oa/oai/,""
